id,tweettypes,created_at,user.screen_name,user.name,user.favourites_count,text,lang
899693900402745345,{'original'},Mon Aug 21 18:05:16 +0000 2017,PaulSch72969276,Paul Schmidt,7210,"#Gruene #SPD #CDU hassen uns #Deutschland #BTW17 #AFD
https://t.co/LraPLkwUyb",de
899694525454700544,{'original'},Mon Aug 21 18:07:45 +0000 2017,CDU,CDU Deutschlands,2249,Gestern waren die Nachbarn auf einen Plausch mit Angela Merkel im #fedidwgugl Haus: https://t.co/rSjeFZDynM,de
899695100439261186,"{'quote', 'retweet'}",Mon Aug 21 18:10:02 +0000 2017,AlternativeNRW,Alternative NRW,8376,RT @UdoHemmelgarn: Könnt ihr euch da bitte anmelden?! : https://t.co/dwrulKgFf6 #TrauDichDeutschland #HolDirDeinLandZurueck #AfD #Btw17 htt…,de
899695144806600704,{'retweet'},Mon Aug 21 18:10:12 +0000 2017,AlternativeNRW,Alternative NRW,8377,"RT @AfD_Bund: Eckpfeiler des #AfD-Programms zur #Btw17, Teil 2️⃣:
🔹🇿️🇺️🇼️🇦️🇳️🇩️🇪️🇷️🇺️🇳️🇬️
️ ℹ️ https://t.co/wyJNc7WbUH
 🎞️… ",de
899695178763685893,{'quote'},Mon Aug 21 18:10:20 +0000 2017,PetraPauMaHe,Petra Pau,7487,"Das ist nur ekelhaft! In dieser #BTW17 geht es tatsächlich darum, ob Artikel 1 #Grundgesetz noch Gültigkeit hat.… https://t.co/AgFxnY6yL6",de
899695182257561600,"{'quote', 'retweet'}",Mon Aug 21 18:10:21 +0000 2017,AlternativeNRW,Alternative NRW,8379,RT @AfD_Muenster: HEUTE noch Sitzplatz für 18.09.17 reservieren! KOSTENFREI! #ThorstenSchulte #AfD #NRW #Btw17 https://t.co/OUPJjTWLUb http…,de
899695402852769793,{'retweet'},Mon Aug 21 18:11:14 +0000 2017,AlternativeNRW,Alternative NRW,8387,RT @ARWKemper: Massive #AfD #Plakat-Zerstörung nun auch in der #Paderborn|er Provinz in Fürstenberg ganze Straßenzüge abrasiert.… ,de
899695566732636161,{'retweet'},Mon Aug 21 18:11:53 +0000 2017,AlternativeNRW,Alternative NRW,8391,"RT @Mundaufmachen: @Alice_Weidel Danke, dass Sie sich für Debatte statt Denkverbote starkmachen, liebe Frau Dr. Weidel! Weiter so!… ",de
899695605508968448,"{'quote', 'retweet'}",Mon Aug 21 18:12:02 +0000 2017,AlternativeNRW,Alternative NRW,8393,RT @RichardMol_: Heute 11 Uhr Bundespressekonferenz mit @Alice_Weidel (gestern sehr stark @ #annewill)+Gauland zur #AfD-#Asylpolitik. https…,de
899695738216734720,"{'quote', 'retweet'}",Mon Aug 21 18:12:34 +0000 2017,dielinkeberlin,DIE LINKE. Berlin,775,"RT @PetraPauMaHe: Das ist nur ekelhaft! In dieser #BTW17 geht es tatsächlich darum, ob Artikel 1 #Grundgesetz noch Gültigkeit hat.… ",de
899695849869103104,{'retweet'},Mon Aug 21 18:13:00 +0000 2017,cdulsa,CDU Sachsen-Anhalt,458,RT @CDU: Unsere Ziele im Wahlprogramm zur Inneren Sicherheit https://t.co/2bjuc6mFcm #BILDdaily #DierichtigenFragen,de
899696080035745792,"{'quote', 'retweet'}",Mon Aug 21 18:13:55 +0000 2017,AlternativeNRW,Alternative NRW,8407,"RT @uwe_kamann: Wir schwimmen im Geld, nur nicht im eigenen. Schuldenstand:  2.115.463.969.584 €  #AfD wählen #BTW17… ",de
899696403525627904,{'retweet'},Mon Aug 21 18:15:12 +0000 2017,spdde,SPD Parteivorstand,8973,"RT @hubertus_heil: Andere mögen begehbare Wahlprogramme haben und keiner geht hin. Wir haben ein Wahlprogramm ""to go"" für alle: https://t.c…",de
899696657805316097,{'retweet'},Mon Aug 21 18:16:13 +0000 2017,krusehamburg,Michael Kruse,2125,RT @tagesspiegel: Immer mehr Künstler boykottieren #US-Präsident Donald #Trump. https://t.co/5KwiMTxDj1,de
899696964337586177,{'retweet'},Mon Aug 21 18:17:26 +0000 2017,SPDSachsen,SPD Sachsen,2959,"RT @MartinSchulz: Wir treten an mit klarem Plan und aus voller Überzeugung. Unser Land kann mehr, wenn ein Sozialdemokrat Bundeskanzl… ",de
899697296258027522,{'retweet'},Mon Aug 21 18:18:45 +0000 2017,AlternativeNRW,Alternative NRW,8415,"RT @AfD_Bund: #AfD-Konzept:
🔹Mittelmeerroute schließen
🔹eindeutige Kommunikation
🔹Asylzentren in Nordafrika
🔹EU-Sonderbeauftragter
https://…",de
899697644905402372,{'retweet'},Mon Aug 21 18:20:08 +0000 2017,c_bernstiel,Christoph Bernstiel,64,"RT @CDU: Menschen in Not helfen, Migration steuern und reduzieren, abgelehnte Bewerber konsequent zurückführen #Townhall https://t.co/DyRMy…",de
899697950577786881,"{'reply', 'quote'}",Mon Aug 21 18:21:21 +0000 2017,Die_Gruenen,BÜNDNIS90/DIE GRÜNEN,2254,"@GERmatti Hier die Klarstellung von @lisapaus 
https://t.co/EttnE5Rnu5",de
